sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
,12,500.1,,11.8,,ADITYA INTERNATIONAL LTD.,,,,6364,20150331,,,2.2,,,381.1,,612.8,,
,12,316.2,0.8,9.6,,NITIN CASTINGS LTD.,,,,6374,20150331,12.6,,11.1,6.8,,472.7,,335.4,,5.0
,12,54.3,0.3,-1.1,,ADITYA MILLS LTD.,,,,6385,20150331,1.1,,1.5,,,8.6,,65.8,,0.8
0.1,12,188.65,0.4,12.7,,ADITYA SPINNERS LTD.,0.2,,,6431,20150331,23.7,0.1,11.7,23.0,,448.5,,271.7,,
4.3,12,258.5,,-11.2,,ADITYA VISION LTD.,2.5,,,6456,20150331,28.5,21.7,11.0,,,1789.6,,280.5,,4.3
96.5,12,18565.35,982.6,45.2,,RELIANCE MEDIAWORKS LTD.,,,,6484,20150331,1058.1,22.7,-6935.1,52.2,,4689.0,1.5,18716.1,,-0.9
,12,1247.0,14.9,138.3,,ADOR FONTECH LTD.,1.0,0.7,,6584,20150331,30.0,1.3,133.5,7.8,,1453.2,,1289.6,,4.3
0.1,12,69.8,,5.9,,ADOR MULTIPRODUCTS LTD.,,,,6585,20150331,,,-7.1,,,95.6,,69.0,,
,12,193.65,,-16.9,,ADVANCE MULTITECH LTD.,,0.6,,6767,20150331,-6.1,,3.0,-6.3,,123.5,,201.7,,-0.4
0.3,12,74.35,0.7,9.1,,ADVANCE PETROCHEMICALS LTD.,,,,6773,20150331,4.7,0.1,0.6,1.4,,124.0,,80.8,,2.5
0.1,12,321.95,12.3,8.9,,ADVANCE SYNTEX LTD.,,,,6793,20150331,33.8,,0.3,21.5,,494.2,,351.1,,
,12,2259.45,13.1,335.0,,ADVANCED ENZYME TECHNOLOGIES LTD.,-1.1,,1.5,6819,20150331,22.3,-1.3,192.9,14.0,91.3,1335.2,,2232.6,,-2.4
0.2,12,548.65,-17.6,-70.6,,ADVANCED MICRONIC DEVICES LTD.,,,69.1,6871,20150331,-16.2,1.4,-38.1,,,74.9,,517.3,,
9.0,12,668.15,0.9,97.7,,ADVANI HOTELS & RESORTS (INDIA) LTD.,,,,6916,20150331,21.1,1.8,36.0,11.9,,484.8,0.1,647.0,,6.4
12.8,12,3143.65,39.9,-105.2,,ADOR WELDING LTD.,,1.4,288.5,6923,20150331,40.8,0.2,323.7,7.9,30.7,4265.7,2.3,3196.8,,-10.9
0.1,12,169.75,,-0.1,,ADVENT COMPUTER SERVICES LTD.,,,,6953,20150331,,,0.0,,,3.1,,169.8,,
,12,335.85,,21.6,,ADVIK LABORATORIES LTD.,,,,7002,20150331,0.2,,-6.8,0.1,,122.5,,323.6,,0.1
1.9,12,6014.6,16.0,351.0,,AEGIS LOGISTICS LTD.,,,,7068,20150331,124.1,18.0,1093.9,87.2,,3443.2,2.1,6000.9,,0.8
,12,1093.8,0.2,-49.9,,LUDLOW JUTE & SPECIALITIES LTD.,,,0.0,7077,20150331,4.9,0.9,-43.5,15.6,,2343.8,,1197.4,,-1.3
,12,5927.7,,-2.3,,AFTEK LTD.,-0.2,,0.5,7294,20150331,-706.8,-0.7,-194.6,-1.3,,526.0,,5829.8,,
0.1,12,189.65,,0.0,,WAGEND INFRA VENTURE LTD.,,,,7447,20150331,,,-0.5,,,,,189.4,,
,12,9069.2,1.5,775.1,,SHIRPUR GOLD REFINERY LTD.,1.3,0.2,,7633,20150331,8.2,0.7,154.4,4.5,,32833.1,,10194.9,,
,12,338.75,,54.4,,AGRI-TECH (INDIA) LTD.,,,,8083,20150331,-0.8,,-3.7,,,0.9,,343.4,,-1.0
,12,11.15,,-0.1,,AGRO CHEM PUNJAB LTD.,,,,8150,20150331,,,,,,,,11.1,,
,12,4452.15,-11.3,454.1,,AGRO DUTCH INDS. LTD.,,,63.6,8153,20150331,-149.6,-0.7,-774.4,-131.5,,91.7,,4293.5,,-6.1
443.9,12,4110.5,123.1,408.3,,AGRO TECH FOODS LTD.,12.9,40.8,1.1,8183,20150331,410.4,30.0,372.8,197.6,32.7,7567.5,6.6,4353.9,,-0.6
0.1,12,283.1,,15.1,,AHIMSA INDUSTRIES LTD.,,,0.1,8280,20150331,,,-8.2,,,321.6,,337.5,,
0.7,12,2491.55,,314.4,,AHLCON PARENTERALS (INDIA) LTD.,,,,8306,20150331,,,170.2,,5.8,1294.3,,3533.6,,
0.7,12,10491.5,-0.8,975.3,,AHLUWALIA CONTRACTS (INDIA) LTD.,-19.8,,2.4,8312,20150331,6.4,-11.7,641.4,41.6,,10599.3,1.8,10457.0,,-9.6
0.1,12,1058.95,-1.0,-43.7,,ADVANCE LIFESTYLES LTD.,-0.4,,,8336,20150331,-1.5,-0.1,11.1,,,,,1037.3,,
,12,96.55,0.4,2.0,,EXCEL CASTRONICS LTD.,,,,8360,20150331,5.5,,5.8,,,304.1,,105.4,,
0.2,12,267.2,,6.1,,AHMEDABAD STEELCRAFT LTD.,-0.2,,,8378,20150331,-2.6,-0.1,-22.3,,,24.7,,250.1,,-2.3
