co_code,,,,,
24967,AUTOMOBILE CORPN. OF GOA LTD.,20040802,7.7036,NA,17.9565
24976,AUTOMOTIVE AXLES LTD.,20040802,4.0516,4.0126,17.9262
25159,AVANTEL LTD.,20040802,0.6405,NA,2.6
25176,AVANTI FEEDS LTD.,20040802,0.4315,NA,18.2263
25290,SANOFI INDIA LTD.,20040802,4.996,4.9979,49.0391
25323,AVERY INDIA LTD.,20040802,1.1701,NA,3.3027
25574,AVON LIFESCIENCES LTD.,20040802,0.7649,NA,3.5262
25754,ELIXIR CAPITAL LTD.,20040802,0.3069,NA,1.565
25979,AZTECSOFT LTD. [MERGED],20040802,1.3162,1.3182,0.7699
26005,B & A LTD.,20040802,0.3243,NA,-13.4839
26061,B A G FILMS & MEDIA LTD.,20040802,1.1125,1.1221,0.4693
26076,B A S F INDIA LTD.,20040802,1.4014,1.4106,9.8545
26214,B C C FUBA INDIA LTD.,20040802,0.3385,NA,0.2641
26485,B F UTILITIES LTD.,20040802,0.2951,NA,0.4274
26633,BILCARE LTD.,20040802,3.8409,NA,9.6385
26647,B I T S LTD.,20040802,0.0855,NA,-0.1323
27247,B N K CAPITAL MARKETS LTD.,20040802,0.1468,NA,0.72
27292,B N RATHI SECURITIES LTD.,20040802,0.3738,NA,4.8
27347,LINDE INDIA LTD.,20040802,0.8646,0.8668,-0.0041
27424,B P L ENGINEERING LTD.,20040802,0.3976,0.4082,-11.3611
27428,B P L LTD.,20040802,0.3909,0.3895,-59.4404
27694,B S APPLIANCES LTD.,20040802,NA,NA,-30.5192
27739,B S E L INFRASTRUCTURE REALTY LTD.,20040802,1.6008,1.5965,0.9168
27747,RELIANCE INFRASTRUCTURE LTD.,20040802,2.1369,2.1467,10.5262
27798,B S L LTD.,20040802,0.448,0.4448,0.9409
27842,B S REFRIGERATORS LTD.,20040802,NA,NA,-14.9376
27870,B S T LTD.,20040802,NA,NA,-10.3658
28897,BAJAJ FINANCE LTD.,20040802,0.5936,0.5909,22.2375
28899,BAJAJ HOLDINGS & INVST. LTD.,20040802,2.2371,2.2367,75.3403
28920,BAJAJ ELECTRICALS LTD.,20040802,0.7697,NA,9.5223
28932,BAJAJ HINDUSTHAN SUGAR LTD.,20040802,3.5832,3.5774,5.2743
28958,WOPOLIN PLASTICS LTD.,20040802,NA,NA,-49.7635
28981,FORCE MOTORS LTD.,20040802,1.4412,NA,26.9272
29203,BAL PHARMA LTD.,20040802,1.316,NA,4.2408
29258,BALAJI AMINES LTD.,20040802,1.1506,NA,21.1326
29294,BALAJI DISTILLERIES LTD. [MERGED],20040802,NA,NA,-8.7764
29433,BALAJI TELEFILMS LTD.,20040802,2.4865,2.4848,10.0046
29657,BALKRISHNA INDUSTRIES LTD.,20040802,1.9619,NA,24.8213
29678,BALLARPUR INDUSTRIES LTD.,20040802,0.7414,0.742,7.8847
29703,BALMER LAWRIE & CO. LTD.,20040802,0.7245,0.7227,2.7815
29706,BALMER LAWRIE-VAN LEER LTD.,20040802,0.7838,NA,1.3776
29728,BALRAMPUR CHINI MILLS LTD.,20040802,2.0012,2.0024,36.6966
29826,BAMBINO AGRO INDS. LTD.,20040802,0.3306,NA,-1.2318
29909,BANCO PRODUCTS (INDIA) LTD.,20040802,1.0083,NA,16.6546
30136,BANK OF BARODA,20040802,0.8791,0.8783,32.7168
30148,BANK OF INDIA,20040802,0.5859,0.5859,19.5844
30153,BANK OF MAHARASHTRA,20040802,0.7695,0.7695,6.4961
30156,BANK OF PUNJAB LTD. [MERGED],20040802,0.7752,0.7772,3.0143
30157,BANK OF RAJASTHAN LTD. [MERGED],20040802,1.0911,1.0944,5.9163
30230,BANNARI AMMAN SUGARS LTD.,20040802,1.7488,1.7405,40.5044
30442,BANSWARA SYNTEX LTD.,20040802,0.3582,NA,-0.8304
30882,BASANT AGRO TECH (INDIA) LTD.,20040802,0.2173,NA,3.0768
31130,BATA INDIA LTD.,20040802,1.9567,1.9584,-7.3237
31160,BATHINA TECHNOLOGIES (INDIA) LTD.,20040802,0.053,NA,-0.0345
31182,BATLIBOI LTD.,20040802,1.1475,NA,-0.2074
31364,BAYER CROPSCIENCE LTD.,20040802,2.3994,NA,7.9015
