co_code,company_name,co_stkdate,bse_pb,nse_pb,eps_on_stkdate
33103,BHAGWANDAS METALS LTD.,20050801,0.5902,NA,-0.4385
33130,BHAGWATI AUTOCAST LTD.,20050801,5.578,NA,4.4989
33264,BHAGYANAGAR INDIA LTD.,20050801,0.9089,0.9089,7.3748
33275,SRI K P R INDUSTRIES LTD.,20050801,0.9754,NA,0.2476
33477,BHANDARI HOSIERY EXPORTS LTD.,20050801,0.5524,NA,0.8561
33501,R K B AGRO INDS. LTD.,20050801,0.4578,NA,1.5388
33537,BHANSALI ENGINEERING POLYMERS LTD.,20050801,9.5481,9.6454,0.7721
33667,BHARAT BHUSHAN FINANCE & COMMODITY BROKERS LTD.,20050801,0.7209,NA,1.0945
33671,BHARAT BIJLEE LTD.,20050801,4.4158,NA,307.1718
33723,B E M L LTD.,20050801,3.2363,3.224,43.3208
33727,BHARAT ELECTRONICS LTD.,20050801,3.6359,3.6291,51.1213
33738,BHARAT AGRI FERT & REALTY LTD.,20050801,3.2013,NA,-2.08
33750,BHARAT FORGE LTD.,20050801,7.5139,7.5175,8.0909
33759,BHARAT GEARS LTD.,20050801,4.7777,4.7981,4.8722
33769,BHARAT HEAVY ELECTRICALS LTD.,20050801,3.9479,3.9473,29.8995
33780,BHARAT IMMUNOLOGICALS & BIOLOGICALS CORPN. LTD.,20050801,3.3549,NA,0.3474
33873,BHARAT PETROLEUM CORPN. LTD.,20050801,1.884,1.8741,8.9077
33901,BHARAT RASAYAN LTD.,20050801,0.2541,0.266,7.2902
33922,BHARAT SEATS LTD.,20050801,1.3476,NA,3.7261
34035,BHARATI DEFENCE & INFRASTRUCTURE LTD.,20050801,3.4097,3.3956,14.12
34143,CAPSUGEL HEALTHCARE PVT. LTD.,20050801,5.592,NA,0.84
34162,BHARTI AIRTEL LTD.,20050801,10.7011,10.7067,8.4071
34213,BHARTIYA INTERNATIONAL LTD.,20050801,0.6604,0.6613,8.4606
34390,B C L INDUSTRIES & INFRASTRUCTURES LTD.,20050801,0.6941,NA,0.7727
34799,BHILWARA SPINNERS LTD.,20050801,NA,NA,-8.9336
35045,BHURUKA GASES LTD.,20050801,1.4442,NA,8.4098
35222,BHUSHAN STEEL LTD.,20050801,0.9103,0.9106,38.6175
35306,BHUWALKA STEEL INDS. LTD.,20050801,0.6737,NA,3.7207
35499,ADITYA BIRLA CHEMICALS (INDIA) LTD. [MERGED],20050801,1.54,NA,15.0471
35532,BIHAR SPONGE IRON LTD.,20050801,NA,NA,0.6173
35793,BIMETAL BEARINGS LTD.,20050801,1.0551,NA,29.0719
35843,BINANI INDUSTRIES LTD.,20050801,1.5804,NA,-13.1131
36073,BIOCON LTD.,20050801,6.2015,6.2338,16.231
36112,BIOPAC INDIA CORPN. LTD.,20050801,1.868,NA,-2.5687
36277,3M INDIA LTD.,20050801,5.9278,5.8899,26.631
36288,BIRLA CAPITAL & FINANCIAL SERVICES LTD.,20050801,3.0546,NA,-0.0512
36303,BIRLA CORPORATION LTD.,20050801,4.3669,4.387,9.4903
36309,BIRLA CABLE LTD.,20050801,1.5674,1.5607,-1.2233
36335,BIRLA GLOBAL FINANCE LTD. [MERGED],20050801,2.5705,2.5719,6.9009
