29294,BALAJI DISTILLERIES LTD. [MERGED]
29331,BALAJI GALVANISING INDS. LTD.
29346,BALAJI HOTELS & ENTERPRISES LTD.
29351,BALAJI INDUSTRIAL CORPN. LTD.
29425,BALAJI STEEL TUBES & PIPES LTD.
29433,BALAJI TELEFILMS LTD.
29455,BALAJI YARN LTD.
29504,BALARAM CEMENTS LTD.
29606,BALGOPAL HOLDINGS & TRADERS LTD.
29657,BALKRISHNA INDUSTRIES LTD.
29678,BALLARPUR INDUSTRIES LTD.
29703,BALMER LAWRIE & CO. LTD.
29706,BALMER LAWRIE-VAN LEER LTD.
29728,BALRAMPUR CHINI MILLS LTD.
29785,BALURGHAT TECHNOLOGIES LTD.
29807,BALWANT TEXTILES MILLS LTD.
29808,COMMEX TECHNOLOGY LTD.
29826,BAMBINO AGRO INDS. LTD.
29843,BAMPSL SECURITIES LTD.
29859,BANARAS BEADS LTD.
29884,BANAS FINANCE LTD.
29909,BANCO PRODUCTS (INDIA) LTD.
29992,BANG OVERSEAS LTD.
30023,BANGALORE FORT FARMS LTD.
30121,BANJARA CEMENTS LTD.
30136,BANK OF BARODA
30148,BANK OF INDIA
30153,BANK OF MAHARASHTRA
30157,BANK OF RAJASTHAN LTD. [MERGED]
30228,BANNARI AMMAN SPG. MILLS LTD.
30230,BANNARI AMMAN SUGARS LTD.
30398,WELSPUN GLOBAL BRANDS LTD. [MERGED]
30425,BANSISONS TEA INDS. LTD.
30442,BANSWARA SYNTEX LTD.
30542,BARAK VALLEY CEMENTS LTD.
30575,VISAGAR POLYTEX LTD.
30591,SARVOTTAM FINVEST LTD.
30676,BARKHA INDUSTRIES LTD.
30731,BARODA EXTRUSION LTD.
30785,BARON INFOTECH LTD.
30882,BASANT AGRO TECH (INDIA) LTD.
30948,P O C L ENTERPRISES LTD.
31014,BASIL CHEMICALS & ADDITIVES LTD.
31130,BATA INDIA LTD.
31182,BATLIBOI LTD.
31365,INEOS STYROLUTION INDIA LTD.
